IDPC3,CX,CY,k3,type2.x,Cut32,Ingrowth23,Growth23,Mortality23,Mortality23_nd,Mortality_ausente23,BAc23,ba_ifn2,sf_nfi,sgdd_nfi,PPplot,PETplot,WAIplot,speimean,speimin
191433A1,569000,4504000,2,Natural,0,0,0.011656030130202406,0,0,0,0.011656030130202406,19.297451555555554,19.03704,2061.144,602,973,-38.1294964028777,-0.370210017272205,-1.65588289002577
191440A1,570000,4503000,1,Natural,1,0.005531299416076433,0.006703375524446205,0,0,0.08152791724457235,0.006703375524446205,15.94603113888889,18.92593,2073.371,607,971,-37.4871266735324,-0.370210017272205,-1.65588289002577
191448A1,571000,4504000,2,Natural,0,0,0.010029158669890558,0,0,0,0.004396069430182725,34.144174472222225,20.44444,2026.7,609,968,-37.0867768595041,-0.370210017272205,-1.65588289002577
191449A1,571000,4506000,1,Natural,0,0,0.02872441092471838,0,0,0,0.01852356264028662,10.919588194444446,18.66667,2085.467,598,976,-38.7295081967213,-0.370210017272205,-1.65588289002577
191451A1,571000,4510000,2,Natural,0,0,0.020874171920475672,0,0,0,0.013325080914526909,23.714850972222223,17.7037,2123.374,587,979,-40.0408580183861,-0.370210017272205,-1.65588289002577
191456A1,572000,4503000,1,Natural,0,0,0.01953906435973839,0,0,0,0.013523405549303064,11.889005722222223,19.96296,2030.168,609,966,-36.9565217391304,-0.370210017272205,-1.65588289002577
191458A1,572000,4507000,1,Natural,0,0.010891036187141465,0.021218891296314026,0,0,0,0.02121889129631403,8.098611666666667,20.2963,2017.481,608,966,-37.0600414078675,-0.370210017272205,-1.65588289002577
191465A1,573000,4504000,2,Natural,1,0,0.00929996989254607,0,0,0.0023518894451207803,0.0067286449101440875,26.202444444444446,19.96296,2041.879,607,968,-37.2933884297521,-0.370210017272205,-1.65588289002577
191466A1,573000,4506000,1,Natural,0,0,0.013612157139043209,0,0,0,0.0019384481387973531,19.43485947222222,19.66667,2041.836,604,968,-37.603305785124,-0.370210017272205,-1.65588289002577
191467A1,573000,4508000,1,Natural,0,0,0.030145280603459182,0,0,0,0.015677493212323673,8.845198722222223,19.81481,2033.96,601,966,-37.7846790890269,-0.370210017272205,-1.65588289002577
191474A1,574000,4504000,1,Natural,0,0,0.011873288192602903,0.0048402884051775286,0.04811420454545454,0,0.0118732881926029,9.940359027777777,20.25926,2019.546,605,965,-37.3056994818653,-0.370210017272205,-1.65588289002577
